Gene,placenta_1,placenta_2,Uterus_D14_1,Uterus_D14_2,Uterus_D14_3,placenta_term_1,placenta_term_2,placenta_term_3,placenta_term_4,PTR2_1,PTR2_2,PTR2_3,sTO01_1,sTO01_2,sTO02_1,sTO02_2,sTO02_3,sTO03_1,sTO03_2,sTO03_3
ENSSSCG00000048769,1.551478173,1.223470946,2.616615726,2.756967037,2.398782034,1.15194535,1.171588878,1.531656871,1.274572712,1.524951579,1.445084949,1.637231095,1.932628312,1.97064561,1.781207343,1.89317237,1.959875586,2.07663292,2.152224695,1.834660839
ENSSSCG00000037372,2.066982383,1.912634173,3.575414826,2.803493709,3.354344151,1.28432055,1.37898521,1.34543415,1.281562654,0.836651284,0.628282881,0.838933896,2.699220526,2.426483602,3.691400004,4.196803517,3.810281425,3.83964573,3.91826121,3.553020873
PSMB1,56.28035362,59.33613087,58.06541339,65.6286769,58.50765768,43.1454876,34.75083224,42.52151562,44.49689222,134.2007559,142.8434981,142.2068604,54.01637533,56.90410577,81.30115516,82.6086815,86.83920736,93.8174013,87.56676975,88.85946465
FAM120B,2.49073797,1.573600466,6.151375242,5.948766339,6.371769747,2.14032213,2.823616811,2.504445509,2.637014276,0.811795376,0.938475303,0.991808478,4.078562807,4.077533192,3.87033227,3.710307412,3.563534041,4.35857232,3.705868444,3.94048811
ENSSSCG00000049216,0.028049747,0.047988248,0.058870638,0.080368984,0.071335048,0.0476033,0.073820981,0.029785697,0.045217377,0.035646271,0.025334521,0.042285866,0.128631254,0.119114608,0.057249966,0.066027253,0.058360754,0.05460977,0.032959792,0.078045909
DLL1,0.435046078,0.192717512,3.792044118,6.35581685,3.038987486,0.73020453,1.011123734,0.618710257,0.685899186,0.014808929,0.037422234,0.051530717,2.904873991,1.988830251,2.904818354,2.560174368,2.540000597,2.84810931,2.584399544,2.42527661
ENSSSCG00000053918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERMARD,2.249650082,2.010209571,10.49761525,8.915594719,9.547583125,1.97167897,1.989958894,2.102884705,2.141342758,1.409320686,1.470650913,1.536487233,2.319257269,2.458792007,2.687398039,3.063830627,2.754713241,3.44027087,3.254320882,3.408902254
DYNLT2,0.036116755,0,0.135360042,0.417911379,0.31312757,0.01178728,0.010801322,0.023969974,0.022392975,0,0,0,0.015925495,0.013693888,0,0,0,0,0.023577173,0.037684363
PHF10,2.336478667,2.44487843,7.242670082,8.523089379,8.073899666,1.92199908,2.174760246,1.827087126,2.540955885,1.710230622,1.855765794,1.754878468,2.732663181,2.627667042,2.861840055,2.880579123,2.7698478,3.27146637,2.800394328,3.036137536
C6orf120,11.59996781,10.96823756,11.64868751,16.88155476,15.03215088,10.561754,6.422743072,9.079852203,10.3606928,8.078879026,7.748446855,8.9664243,27.27970862,33.49541066,32.32162073,31.28868474,33.73750256,22.8678627,29.38969467,23.71008804
WDR27,0.039432007,0,1.852239918,3.708119973,2.157581961,0.06005656,0.055033085,0.017446828,0.073345455,0,9.89E-03,0.029722488,0.034774676,0.019934515,0.035769482,0.054600201,0.04883504,0.08858051,0.034321845,0.109716028
THBS2,1.222236134,1.130749294,2.764384902,2.471302532,3.99293248,2.29972345,2.76849422,1.950344156,4.293137187,0,0,0,0,0,0.025307564,0.014716436,3.95E-03,0,0,0
ssc-mir-9815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMOC2,0.158732686,0.214004296,18.34378781,10.81494473,10.86593148,0.5360685,0.598555896,0.306882533,3.286266773,0,0,0,0,0,0,0,0,0,0,0
DACT2,0.167722352,0.056633651,2.501156703,7.607295327,6.561447269,0.01728596,0.010560039,0.041010421,0.07662464,0,0,0,0,6.69E-03,0,0,0,0,0,0
U2_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRMD1,0,0.010431559,4.738599636,3.064039024,3.315598306,0.02547171,0.035011659,0.019424209,0.042341317,0,0.014685737,0,0,0,0,0,0,0,0,0
ENSSSCG00000049642,0,0.018927302,0.053073106,0.058520791,0.08184913,0.01155414,0,0.011747937,0,0,0,0,0,0,0,0,0,0,0,0
ENSSSCG00000004016,0.041696973,0.167194411,0.312547682,0.597357135,0.337406846,0.15649742,0.492572097,0.394346714,0.310233603,0,0.015691954,7.86E-03,9.19E-03,7.91E-03,0,0,7.75E-03,0,0,7.25E-03
ENSSSCG00000054333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFDN,25.16453009,25.73197097,41.56253883,36.55912498,50.04832515,11.9867638,20.0461487,13.23023497,16.61046835,8.321295829,9.569295299,9.295292175,24.648169,23.77917471,28.10656392,27.53232414,26.58830154,29.6794605,27.47340893,27.79815829
ssc-mir-9824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSSSCG00000047676,0.057477079,0.2335416,2.309251521,3.141684334,3.136086371,0.09004109,0.151267472,0.122068472,0.049891412,0.100434413,0.173044253,0.225286056,0.030413062,0.034868457,0.187698565,0.111421265,0.153755657,0.14633278,0.097555339,0.167921065
ENSSSCG00000047753,0.072754967,0.125667957,1.182987514,1.258159327,1.759703608,0.13516238,0.076991949,0.189429804,0.079808693,0.195585722,0.214828536,0.18561294,0.207292121,0.190976468,0.178954316,0.182109463,0.178822294,0.09638626,0.080375739,0.093431159
UNC93A,18.15984298,4.81383913,57.54395845,44.42542745,31.93627771,5.52040457,6.811462281,8.011371613,4.716520248,1.15172676,0.971409475,1.127336111,1.493034997,2.429469289,1.296431756,0.956616051,0.885695581,0.28424245,0.183373107,0.279890387
ENSSSCG00000022580,0,0,0.089443793,0.02191661,0.114949881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSSSCG00000032403,0,0,0.043258733,0.095398046,0.200140334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPR31,0.030791708,0.059264176,3.702114955,4.764167972,3.424208302,0.18088855,0.044202131,0.028610184,0.118366426,0,0,0,0,0,0,0,0,0,0,0
CCR6,0.026903948,0,0.282329212,0.266836178,0.18660299,0,0,0.017855617,0.03336177,0,0,0,0,0,0,0,0,0,0,0
ENSSSCG00000034196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
