"","Gene","placenta_1","placenta_2","Uterus_D14_1","Uterus_D14_2","Uterus_D14_3","placenta_term_1","placenta_term_2","placenta_term_3","placenta_term_4","PTR2_1","PTR2_2","PTR2_3","sTO01_1","sTO01_2","sTO02_1","sTO02_2","sTO02_3","sTO03_1","sTO03_2","sTO03_3"
"1","CTSD",1181.402098,1185.10274,203.5361628,155.5131147,155.5723161,274.483314,538.986221,157.9584687,355.636681,20.76952281,22.13079262,22.05112084,521.2803227,356.9515833,735.7554472,745.7342188,757.1246767,1185.12498,1141.672001,1176.886145
"2","ENSSSCG00000013714",0.035840242,1.149683125,4.405817904,9.676609179,5.593144399,0.04678814,0,0.071359374,0,0,0.18883021,0.108060558,0.031607136,0,0,0,0,0,0,0
"3","ENSSSCG00000006525",0.497033088,1.360539743,51.74123233,52.30881158,33.96808422,0.03244293,0.029729218,0.138545821,0.012326744,0.165805819,0.119712026,0.097408068,1.306218338,3.686143218,0.53427815,0.743283367,0.457974079,0.23075175,0.233615043,0.262760508
"4","CDH1",136.4624636,109.3263356,142.2741465,98.92363396,133.6052029,59.9463776,48.07020443,71.54863336,36.83296927,34.55700853,38.10717481,39.10645519,341.1499472,368.8240912,385.0085724,397.6316532,396.8093256,330.990257,337.4964921,341.5642835
"5","CYP11A1",565.2441978,337.4312618,0.486314863,0.30386515,0.693743367,158.27845,154.4690926,310.1114061,225.5783916,0.515312836,0.378451287,0.501263322,130.7536173,96.40489823,240.4076688,214.1581569,219.0072705,325.522497,335.3969684,345.1217037
"6","PDGFRA",2.949735538,4.671941646,57.4729881,47.83016261,69.65670293,9.9939584,12.46337886,4.631139051,24.48704151,0.344109083,0.322617971,0.257081666,0.024387572,0.024465224,0.087798311,0.041482204,0.030823328,0.01035362,0.00903,0.00321
"7","CD34",7.684451668,20.52527334,59.8579083,38.84076452,44.33199983,11.916938,14.54167307,6.886735933,11.95917676,0,0,0.015549731,0.0091,0.00782,0,0.014282426,0,0,0,0.021524797
"8","VIM",24.82285836,59.75444633,667.4381487,506.1516364,531.9192181,77.3474618,71.91622011,51.69957726,85.16650017,14.87206639,18.40904987,18.79948257,0.047260406,0.040637903,0.568764998,0.371021093,0.223000161,0.05617968,0.013993496,0.052188219
"9","GATA3",96.78275929,64.96131116,2.448637995,2.440955963,1.934192032,10.5210638,16.91348688,11.63350252,13.71360064,1.613742828,1.439271448,1.507436297,29.75048382,24.9049116,43.45761391,33.89738667,36.5357836,42.4553984,41.84446529,42.19908559
"10","COL1A1",25.27610253,22.26121437,2574.21455,1440.763702,2041.258071,5.79227574,27.40954817,11.08832933,25.92806791,0.027811475,0.015059942,0.049016291,0.013234157,0.022759363,0.02382231,0.048484644,0.022302111,0.00375,0.016327279,0.017397707
"11","GATA2",46.49647413,34.4864734,28.23038487,22.23998126,29.30360608,11.5737526,19.2217504,12.92508453,15.00194392,3.451581426,3.984197735,3.659761514,110.7759255,91.98489968,114.1598567,108.3477056,105.8240965,119.769566,112.63918,114.0030967
"12","TP63",6.404785603,2.443455554,0.00676,0.00497,0,4.48069337,3.289035284,5.225914052,3.814575701,0.289975105,0.315497533,0.254805067,12.94223037,11.6755253,15.24637733,14.37619956,14.54568772,14.431658,16.18289492,14.72938896
"13","FGFR2",30.9247106,16.2194743,18.68391327,12.01350226,26.51219427,12.4732356,16.98012048,19.7809263,20.97899199,3.88940743,3.453356761,4.092592114,11.59961777,10.82334722,14.13736824,11.34837722,12.38254356,17.4274602,16.33515349,17.02715494
"14","HAND1",61.64360398,32.69589399,0.047185244,0.069371426,0.027288335,8.5414481,13.12656677,10.41330162,11.49918616,0.462488939,0.420499325,0.516012219,44.03016287,30.37178282,55.15605294,48.79579417,50.13863368,53.5889405,54.76790628,53.6567862
"15","FOXA2",0,0,5.747097411,14.58763008,10.40725343,0,0,0.00887,0,0.254625166,0.211128422,0.171163086,0,0,0,0,0,0,0,0
"16","WFDC2",1.99894373,10.2714117,1934.282403,1467.287832,1663.222418,2.75452338,6.443146131,3.722016389,4.509957317,0.396922533,0.167170853,0.334829978,1.909751616,1.473717231,1.662171265,1.768362358,1.361588641,3.07678961,2.827324631,3.82379378
"17","CTSZ",2446.788938,1996.616902,126.6506032,179.8556699,130.8923848,499.401288,589.1358397,578.901214,698.7691493,19.74140918,23.39592679,21.96281726,1116.729096,1409.919154,1730.067221,1965.433671,1890.583096,1819.65991,1835.050997,1773.216162
"18","PAGE4",955.8030604,683.7149351,0,0,0,306.533235,239.3087779,443.7145964,357.3631367,4.425158254,4.65933161,4.271309174,43.75822514,50.95101394,78.49756913,72.29891204,71.4056936,99.4475975,98.29301123,94.13758261
